,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,40.76011
43,3.5298233
44,0.32985687
45,0.0
46,0.0
47,0.04384327
48,0.53666496
49,0.0
50,0.0
51,0.06983662
52,0.0
53,0.8983736
54,0.0
55,0.0
56,0.0
57,0.0074501038
58,0.0
59,2.545783
60,0.48612332
61,0.0
62,0.40009308
63,0.0
64,0.0
65,0.0
66,0.39479256
67,0.0
68,0.0
69,0.0
70,0.14647102
71,0.37879372
72,0.6514416
73,0.0
74,0.7488375
75,0.7159653
76,0.0
77,0.0
78,1.2476978
79,0.0
80,0.0
81,0.0
82,0.73019695
83,0.0
84,0.0
85,0.0
86,0.0
87,0.6847248
88,0.9842682
89,0.31911445
90,0.46916962
91,0.1733284
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,1.6793928
99,0.0
100,0.0
101,0.3543167
102,0.42354012
103,0.0
104,0.6477728
105,0.0
106,0.0
107,0.30101776
108,0.0
109,0.0
110,0.0
111,0.801734
112,0.0
113,0.0
114,1.5275278
115,0.5093851
116,0.913291
117,1.4676819
118,0.41037607
119,1.080296
120,0.120726585
121,0.17538929
122,0.0
123,0.0
124,0.0
125,0.5197134
126,0.27899265
127,0.0
128,0.0
129,0.13550377
130,0.29393697
131,0.036042213
132,0.4131632
133,0.0
134,0.9047394
135,0.0
136,0.0
137,0.0
138,0.6479583
139,0.002666235
140,0.0060329437
141,1.1827698
142,0.0
143,0.24137688
144,0.0
145,0.56933117
146,0.0
147,0.0
148,0.017385483
149,0.0
150,0.0
151,0.47415543
152,0.7359991
153,0.0
154,0.0
155,0.0
156,0.91749954
157,0.6621232
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.59057045
165,0.0
166,0.0
167,0.0065984726
168,0.0
169,0.19687843
170,0.18777657
171,0.0
172,0.009925842
173,0.47752976
174,0.38049507
175,0.0
176,0.0
