,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,40.179794
42,4.8886127
43,0.24288654
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,1.6488285
50,0.0
51,0.44229317
52,0.0
53,0.0
54,0.0
55,0.0
56,0.04227829
57,0.42164612
58,1.356472
59,1.8989339
60,0.0
61,0.03066349
62,0.0
63,0.0
64,0.50354576
65,0.03245449
66,0.0
67,0.0
68,0.120100975
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.9457617
75,0.053679943
76,0.0
77,0.06410408
78,0.28318787
79,0.0
80,0.53655624
81,1.0761948
82,0.0
83,0.0
84,0.70920944
85,0.0
86,0.0
87,0.0
88,0.0
89,0.73044586
90,0.17188454
91,0.11646843
92,0.0
93,0.025184631
94,0.0
95,0.33214235
96,0.0
97,0.15773201
98,0.0
99,0.0
100,0.0
101,0.0
102,0.008312225
103,0.75801086
104,0.49458122
105,0.0
106,3.4498463
107,0.33870792
108,0.0
109,0.0
110,0.8041105
111,0.9826374
112,0.0
113,1.5629091
114,0.0
115,0.094419
116,1.3189821
117,2.8217678
118,0.0
119,0.0
120,0.0
121,0.0
122,0.1461935
123,1.50246
124,0.0
125,0.0
126,0.17087173
127,0.59230804
128,0.0
129,0.0
130,0.0
131,0.62431145
132,0.0
133,2.8016825
134,0.0
135,0.0
136,0.0
137,0.0
138,0.5010166
139,0.0
140,0.0
141,1.8350391
142,0.0
143,0.023845673
144,0.0
145,0.28164673
146,0.0
147,0.0
148,0.0
149,3.7062721
150,0.0
151,0.011845112
152,0.0
153,0.0
154,2.3619728
155,2.0596726
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.27300072
165,0.07468128
166,1.372385
167,0.17277145
168,0.0
169,0.066244125
170,0.0
171,1.3569298
172,0.0
173,0.4942894
174,11.771284
