,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,38.165062
43,3.2676735
44,0.0
45,0.029636383
46,0.48234653
47,0.0
48,2.4162312
49,0.0
50,0.0
51,0.56624603
52,0.4731884
53,0.61180305
54,0.0
55,0.0
56,0.0
57,0.08195877
58,1.1062136
59,1.2181916
60,0.0
61,0.5146761
62,1.180829
63,0.0
64,0.12926054
65,0.38643825
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0025224686
71,1.5226002
72,0.0
73,0.0
74,0.4607172
75,2.8029547
76,0.0
77,0.0
78,0.0
79,0.58604527
80,1.2744179
81,0.0
82,0.0
83,0.0
84,0.0
85,1.7594905
86,1.2097139
87,0.0
88,0.45170975
89,0.0
90,0.0
91,0.0
92,0.0
93,3.958951
94,0.0
95,0.0
96,0.0
97,1.1028185
98,0.0
99,0.0
100,0.0
101,4.163513
102,0.0
103,0.0
104,0.0
105,0.0
106,1.2965384
107,0.0
108,0.0
109,0.0
110,0.04248047
111,0.9190092
112,0.21092415
113,0.0
114,0.0
115,3.9190636
116,3.0001936
117,0.0
118,0.0
119,0.0
120,11.673453
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,2.58817
127,0.0
128,0.0
129,2.172966
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.40902138
136,1.1814346
137,0.0
138,1.0319977
139,0.0
140,5.1298504
141,0.0
142,0.0
143,0.21450233
144,1.2617397
145,0.0
146,0.0
147,0.1868763
148,0.0
149,0.0
150,0.8686657
151,0.0
152,2.3810272
153,0.0
154,0.0
155,0.0
156,0.0
157,0.37903452
158,0.03370285
159,0.0
160,1.5569701
161,0.064455986
162,0.0
163,0.0
164,0.2546301
165,1.0136709
166,0.0
167,0.0
168,0.0
169,0.52569485
170,0.0
171,2.2656364
172,0.0
173,0.0
174,0.17025948
175,0.0
176,0.94734955
177,0.02275467
178,0.7581291
179,0.0
180,2.1078491
181,0.8166723
182,0.0
183,0.0
184,0.0
