,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,17.68135
40,16.069355
41,0.0
42,0.0
43,0.0
44,0.0
45,0.02107048
46,0.0
47,2.0445995
48,0.9445152
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.84339714
56,2.5018988
57,0.0
58,0.0
59,0.0
60,0.0
61,0.914032
62,0.41982174
63,0.0
64,0.0
65,0.0
66,0.0
67,0.5888233
68,0.0
69,0.0
70,4.3870144
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,2.1404896
78,1.3038797
79,0.0
80,0.0
81,0.0
82,0.0
83,0.025900364
84,0.0
85,0.11126518
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.93583775
94,2.1522536
95,0.0
96,0.0
97,0.0
98,0.045389175
99,0.0
100,4.2802258
101,0.2983818
102,0.0
103,0.0
104,0.0
105,3.905458
106,0.17083073
107,0.0
108,0.0
109,0.0
110,2.891748
111,0.0
112,0.0
113,0.0
114,0.36996078
115,0.0
116,0.0
117,0.1392746
118,2.8584776
119,0.0
120,0.0
121,0.51648045
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.36081886
128,0.0
129,7.2933016
130,4.142806
131,0.9762697
132,0.0
133,0.0
134,5.8359976
135,0.0
136,0.0
137,0.0
138,0.4556465
139,0.0
140,0.0
141,0.0
142,0.0
143,0.10694759
144,0.0
145,0.0
146,0.16222572
147,0.0
148,0.46163464
149,0.8535347
150,0.0
151,0.0
152,0.0
153,1.8069353
154,1.3292484
155,0.82490325
156,0.0
157,1.9158266
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.21031332
167,2.4945812
168,0.0
169,0.0
170,0.0
171,0.0
