,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,24.15635
41,19.156776
42,0.0
43,0.0
44,0.82396173
45,1.0641241
46,1.7557526
47,0.0
48,0.0
49,0.0
50,0.08190918
51,0.095918894
52,8.463409
53,1.3745208
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0056209564
66,5.723136
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.16123962
73,0.0
74,0.0
75,0.0
76,0.77379704
77,0.32772064
78,1.1440067
79,0.0
80,0.0
81,3.007784
82,0.0
83,0.40332222
84,0.0
85,0.0
86,0.0
87,4.9881296
88,0.0
89,0.0
90,0.0
91,0.0
92,0.02736473
93,0.74386215
94,0.0
95,0.30960655
96,0.0
97,0.89219475
98,0.11268234
99,0.88056946
100,1.2723866
101,0.0
102,0.0
103,0.0
104,0.0
105,0.6660118
106,0.22900963
107,0.0
108,0.0
109,0.0
110,4.531931
111,3.504123
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,4.698915
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.052363873
127,0.31242752
128,0.11066055
129,2.605547
130,3.3760314
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,4.883881
138,0.0
139,0.0
140,0.0
141,0.10079765
142,0.0
143,1.7200933
144,0.8221998
145,0.0
146,0.0
147,1.9596577
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.032949448
156,0.4542284
157,0.0
158,0.0
159,0.0
160,0.0
161,1.589035
162,1.4555044
163,0.02918768
164,0.0
165,2.5507343
166,0.27069855
167,0.0
168,0.11358452
169,1.0144851
170,0.0
171,0.0
172,0.28396606
173,0.17158127
174,0.0
175,0.0
176,0.1858244
177,0.056060314
178,2.1665087
179,0.0
180,0.0
