,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,34.96888
42,2.2336445
43,0.0
44,0.87179756
45,0.3645668
46,0.0
47,4.6741867
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,1.1308022
54,3.2757568
55,0.0
56,0.0
57,0.0
58,0.7951393
59,0.30329037
60,4.288098
61,0.13745499
62,0.0
63,0.0
64,0.0
65,0.46609688
66,0.0
67,0.0
68,0.0
69,0.13279533
70,0.0
71,0.0
72,0.0
73,0.042785645
74,0.32637286
75,0.0
76,0.0
77,3.0811043
78,0.8338957
79,0.68000984
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.54577255
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.7840977
92,1.9291964
93,0.0
94,3.6909037
95,3.4504108
96,1.6229887
97,0.0
98,0.0
99,0.0
100,0.184865
101,0.0
102,0.0
103,0.0
104,0.015277863
105,0.22978783
106,0.0
107,0.0
108,0.12533283
109,0.80219555
110,9.943691
111,0.5087075
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,1.7951059
119,0.0
120,0.0
121,0.0
122,5.1547747
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.8076401
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,4.4629736
138,0.0
139,0.013538361
140,3.5020103
141,0.0
142,0.0
143,0.10981417
144,0.0
145,0.0
146,0.0
147,1.9883671
148,0.41445827
149,0.0
150,0.0
151,1.9799747
152,1.2361364
153,0.0
154,0.0
155,0.0
156,2.655939
157,0.5841255
158,0.0
159,0.0
160,0.024242401
161,0.56583357
162,0.0
163,0.6512661
164,0.5631275
165,0.16572142
166,0.14017868
167,1.5843344
168,0.92942
169,0.0
170,1.574366
171,0.5490637
172,0.0
173,0.0
174,0.29922295
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
