,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,29.714973
42,5.223278
43,0.0
44,0.0
45,0.0
46,0.0
47,0.4430008
48,0.60108376
49,0.09288025
50,0.36731243
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.2300272
57,0.0
58,0.0
59,0.37459183
60,0.02076912
61,0.251194
62,1.0661077
63,0.23110008
64,0.0
65,0.09123039
66,0.0
67,0.45521164
68,0.0
69,0.5947151
70,0.099500656
71,0.0
72,0.63755226
73,0.0
74,0.0
75,0.0
76,0.7972121
77,0.0
78,0.48438168
79,0.028821945
80,0.48917198
81,0.0
82,0.0
83,0.0
84,0.044112206
85,0.0
86,0.1549921
87,0.9533634
88,0.0
89,0.0
90,0.22549677
91,0.12794495
92,0.06977844
93,0.0
94,0.0
95,0.14102459
96,0.0
97,0.93462706
98,0.0
99,0.0
100,0.0
101,0.37747192
102,0.0
103,0.08197117
104,0.0
105,0.6362114
106,0.0
107,0.21758842
108,0.0
109,0.26010513
110,0.1506927
111,0.17772007
112,0.0
113,3.4095764
114,0.0
115,0.0
116,0.8202386
117,0.776556
118,9.196121
119,0.0
120,0.0
121,0.0
122,1.8888283
123,7.484852
124,0.0
125,0.0
126,0.0
127,1.685216
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.3439293
134,0.0
135,0.0
136,0.0
137,0.0
138,0.03528881
139,0.25504112
140,0.0071411133
141,0.0
142,0.14528227
143,0.14120674
144,0.34152412
145,0.0
146,0.19421196
147,0.066230774
148,0.0
149,0.41028976
150,0.0
151,0.4281311
152,0.010406494
153,0.14515209
154,0.23875713
155,0.08778572
156,0.0
157,0.0
158,0.95565987
159,0.7483444
160,0.87895584
161,0.12211037
162,0.0
163,0.2923813
164,0.0
165,0.8875828
166,0.0
167,0.063705444
168,1.6749234
169,0.0
170,0.0
171,0.0
172,0.80965424
173,0.0
174,0.023982763
175,0.0
176,0.0
177,0.0
178,0.098095894
179,0.21935463
180,0.0
181,0.0
182,1.486084
183,1.4855504
184,0.0
185,0.0
186,0.0
187,0.13596916
188,0.8639989
189,1.951148
190,0.0
191,0.0
192,1.7332878
193,0.0
194,1.6357384
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
