,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,33.21819
41,4.2711697
42,0.0
43,0.0
44,0.1752739
45,0.37212658
46,1.5806904
47,0.87299156
48,0.0
49,0.5381925
50,0.20150852
51,0.0
52,0.0
53,0.0
54,0.03228569
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.058254242
61,0.51586056
62,0.0
63,0.10262108
64,0.45533562
65,0.0
66,0.8257837
67,0.3727951
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.5272126
74,0.0
75,0.0
76,0.0013790131
77,0.0
78,0.015734673
79,0.32809258
80,0.27167416
81,0.0
82,0.21282387
83,0.0
84,0.24691772
85,0.2232666
86,0.0
87,0.0
88,0.0
89,0.51527214
90,0.23858833
91,0.0
92,0.61502266
93,0.25013542
94,0.36199856
95,0.0
96,0.8411083
97,0.0
98,0.17933083
99,0.07203293
100,0.18703079
101,0.0
102,0.0
103,0.937304
104,2.7002163
105,7.3586073
106,1.240531
107,0.6629877
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.06288004
116,0.079862595
117,0.0
118,0.04228592
119,0.0
120,0.08681679
121,0.38788557
122,0.0
123,0.0
124,0.0
125,0.0
126,0.22036934
127,0.0
128,0.27946854
129,0.0
130,0.0
131,0.58649254
132,0.0
133,0.0036063194
134,0.6760025
135,0.0
136,0.77804756
137,0.20262527
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.33080482
144,0.0
145,2.0246944
146,0.0
147,0.0
148,1.0522518
149,0.0
150,0.0
151,0.0
152,0.0
153,0.25722885
154,0.7956619
155,0.0
156,0.0
157,0.1276493
158,1.3869476
159,0.025953293
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.13201189
166,0.0
167,0.70236826
168,0.014022827
169,0.0
170,0.9195342
171,0.0
172,0.0
173,0.0
174,1.0317707
175,0.0
176,0.545269
177,0.0
178,0.0
179,0.0
180,0.90952396
181,1.2710972
182,0.0
183,0.0
184,0.006043434
185,2.2439098
186,0.1321907
187,0.0
188,0.0
189,3.2333488
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.351017
196,1.2052765
197,0.84627056
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
