,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,23.271202
40,13.027713
41,1.9197037
42,0.28517437
43,0.0
44,0.0
45,0.42037392
46,1.6911764
47,0.0
48,0.0
49,0.0
50,4.685889
51,0.0
52,0.0
53,0.83774185
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,4.1739264
60,0.08233738
61,0.0
62,0.0
63,0.0
64,0.0
65,1.6948187
66,0.0
67,0.0
68,0.6848898
69,0.0
70,1.8395214
71,0.0
72,0.0
73,1.1551895
74,0.0
75,0.0
76,1.3469315
77,2.3300838
78,0.32290363
79,0.23762512
80,0.42141056
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.17221451
89,3.1279907
90,1.424479
91,0.92874026
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,1.5337591
99,1.7508411
100,0.23093987
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,1.4069061
107,0.90711784
108,0.0
109,0.0
110,1.6201906
111,0.0
112,0.0
113,0.5643997
114,0.14261818
115,3.9958887
116,0.0
117,0.0
118,0.29435062
119,2.174305
120,0.0
121,1.5720606
122,0.0
123,0.0
124,0.0
125,1.9784813
126,0.0
127,0.0
128,0.0
129,0.0
130,0.414711
131,0.23251629
132,0.77057076
133,0.0
134,0.0
135,7.2912025
136,0.0
137,1.2555447
138,0.0
139,2.1588924
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.23192978
148,0.0
149,2.5615444
150,0.0
151,0.0
152,0.0
153,1.9840393
154,0.0
155,0.7709398
156,0.0
157,0.0
158,0.12475324
159,0.09983826
160,0.0
161,0.0
162,4.3144274
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,3.0546236
169,0.15228271
170,0.0
171,0.0
172,0.0
173,0.0
174,0.6989236
175,1.2079802
176,0.0
177,0.0
178,0.45306206
179,2.1150188
180,1.1906133
181,0.0
182,0.0
183,0.0
184,0.0
185,0.35624695
186,1.9495778
187,0.4966421
188,0.0
189,0.0
190,0.7070246
191,2.0934944
192,0.0
193,0.0
194,0.0
