,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,32.962555
42,6.3383274
43,0.0024824142
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.56232834
50,0.0
51,0.0
52,0.0
53,0.0
54,0.057511806
55,0.17668533
56,0.71530914
57,0.37779236
58,0.34102607
59,2.1916165
60,0.0
61,0.0
62,0.67199326
63,0.0
64,0.28565025
65,0.20262527
66,0.0
67,0.0
68,0.6414976
69,0.0
70,0.0
71,0.28415585
72,0.0
73,0.0
74,0.4731412
75,0.0
76,0.0
77,0.41532707
78,0.0
79,0.37594223
80,0.4423771
81,0.0
82,0.41386604
83,0.10915971
84,0.025231361
85,0.16560936
86,0.0
87,0.82216835
88,0.0
89,0.017282486
90,0.44248676
91,0.0
92,1.169055
93,0.24697733
94,0.0
95,0.630846
96,0.2775402
97,0.17241049
98,0.0
99,0.43545866
100,0.0
101,0.14288712
102,0.15422392
103,0.14542389
104,0.030898094
105,0.08355713
106,1.6561279
107,3.00171
108,1.0168533
109,1.5789135
110,3.4820566
111,3.521919
112,0.0
113,0.0
114,0.0
115,0.0
116,3.264102
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.47911406
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.1933155
130,0.0
131,0.0
132,0.54468536
133,0.21230888
134,0.0
135,0.10890579
136,0.0
137,0.0
138,0.0
139,0.0
140,0.027249336
141,0.23988914
142,0.026987076
143,0.0
144,0.5750227
145,0.0
146,0.7459717
147,0.0
148,0.0
149,0.32268763
150,0.0
151,0.12797546
152,0.028974533
153,0.48423386
154,0.23413277
155,0.36357498
156,0.14543629
157,0.9114876
158,0.0
159,0.23265743
160,0.33156586
161,0.5241909
162,0.16824722
163,0.0
164,0.0030956268
165,0.0
166,0.0
167,0.3873005
168,0.0
169,0.3104
170,0.0
171,0.48569202
172,0.19921684
173,0.0
174,0.0
175,1.1188431
176,0.9630003
177,0.05791664
178,0.22231579
179,0.07625866
180,0.0
181,0.0
182,0.0
183,0.17733574
184,0.0
185,0.0
186,0.027059555
187,0.0015201569
188,1.8299618
189,0.0
190,0.0
191,1.0442867
192,0.7995868
193,0.4016838
194,0.0
195,0.0
196,0.0
197,0.0
198,0.51865345
199,0.0
200,0.0
201,0.0
202,0.1510477
203,0.6409149
204,0.0
205,0.43027878
206,0.07802439
207,0.21972418
208,0.0
209,0.039157867
