,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,18.843712
43,4.1847
44,0.0
45,0.07475662
46,0.4693184
47,0.0
48,0.6478481
49,0.0
50,0.08149338
51,0.0
52,0.32309246
53,0.0
54,0.28611183
55,0.0
56,0.71215534
57,0.0
58,0.5101299
59,0.25022316
60,0.3662548
61,0.0
62,0.5378494
63,0.21647644
64,0.37519932
65,0.0
66,0.40843105
67,0.60854053
68,0.0
69,0.0
70,0.4422779
71,0.0
72,0.11291313
73,0.39021492
74,0.0
75,0.47359943
76,0.0
77,0.111278534
78,1.7293301
79,0.0
80,0.031208038
81,0.0
82,0.0
83,0.8985367
84,0.05042076
85,0.0
86,0.0
87,1.3717651
88,0.0
89,1.166296
90,4.7607236
91,0.0
92,0.0
93,0.0
94,0.3866682
95,0.0
96,1.3969998
97,0.0
98,0.0
99,0.22914505
100,0.0
101,0.0
102,1.0485382
103,0.0
104,0.5310068
105,0.0
106,0.030076027
107,0.0
108,0.11056137
109,0.0
110,2.1730099
111,0.0
112,0.0
113,0.7006893
114,0.0
115,0.5097294
116,0.0
117,0.1274929
118,1.6258373
119,0.0
120,1.1968613
121,0.9496784
122,0.7754574
123,0.328784
124,0.0
125,0.0
126,0.17399693
127,1.9008665
128,2.4363537
129,0.0
130,0.0
131,0.0
132,0.0
133,0.4357643
134,0.0
135,2.3179817
136,8.184976
137,0.8898766
138,0.7198391
139,0.8135185
140,21.144894
141,0.0
142,0.0
143,0.0
144,0.30428433
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.25374985
152,0.0
153,3.7388287
154,5.7510366
155,0.0
156,0.0
157,3.3371022
158,0.0
159,0.0
160,0.0
161,0.0
162,0.1650362
163,1.4715099
164,0.0
165,0.5052891
166,0.16457176
167,0.048957825
168,0.9737377
169,0.0
170,0.0865345
171,0.0
172,0.20077705
173,0.0
174,0.0
175,0.0
176,0.0
177,0.36329365
178,0.0
179,0.0
180,0.0
181,0.0
182,0.012742996
183,0.0
184,0.23113632
185,0.16480255
186,0.7888336
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.85606956
193,0.030630112
194,0.0
195,0.5247059
196,0.0
197,0.3175602
198,0.5372772
199,0.0
200,0.16077423
201,0.086984634
202,0.0
203,0.0
