,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,27.011038
43,0.0
44,0.07540989
45,0.15973353
46,0.0
47,0.0
48,0.31410408
49,0.02376604
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.04150009
56,0.0
57,0.0
58,0.21701431
59,0.0
60,0.0
61,0.55503845
62,0.59535694
63,0.06622696
64,0.020366669
65,0.0317297
66,0.2566414
67,0.27501678
68,0.0
69,0.0
70,0.32546997
71,0.0
72,0.4108715
73,0.23891068
74,0.0
75,0.48056793
76,0.0
77,0.4290781
78,0.0
79,0.3772955
80,0.0
81,0.0
82,0.0
83,0.48729515
84,0.0
85,0.19911957
86,0.0
87,1.4237499
88,0.0
89,1.7604427
90,0.24970818
91,0.0
92,0.0
93,0.2971344
94,0.07834625
95,0.0
96,0.2253027
97,0.2583971
98,0.0
99,1.0657969
100,0.49678135
101,0.0
102,0.885036
103,0.0
104,0.0
105,0.0
106,0.42536545
107,0.0
108,0.0
109,0.124314785
110,0.4737587
111,0.5513668
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.24528694
119,0.0
120,0.021928787
121,0.660038
122,0.0
123,0.4128723
124,0.0
125,0.18491364
126,3.2340298
127,4.2296944
128,19.679043
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.49039268
141,0.5694599
142,0.5647392
143,0.0
144,0.60507965
145,0.0
146,0.023294449
147,0.3924427
148,0.0
149,0.1890831
150,0.0
151,0.38597488
152,1.0386782
153,0.0
154,1.2754192
155,0.71315193
156,0.0
157,1.0777321
158,0.32574654
159,0.0
160,0.63274765
161,0.0
162,0.0
163,0.0
164,1.4524584
165,0.51653576
166,0.0
167,0.0
168,0.0
169,4.260888
170,0.0
171,0.0
172,0.0
173,1.39711
174,0.0
175,0.070920944
176,0.0
177,0.0
178,0.0
179,0.39054394
180,1.1951933
181,0.0
182,0.013095856
183,0.0
184,0.0
185,0.55545616
186,0.7671757
187,0.0
188,0.0
189,0.22179794
190,0.0
191,0.24559116
192,0.76957417
193,0.0
194,1.5746489
195,0.0
196,0.2765088
197,0.0
198,0.48382187
199,0.0
